regiao,estado,municipio,votos_Bolsonaro,votos_Lula
Norte,PA,AURORA DO PARA,3845,9566
Norte,TO,AURORA DO TOCANTINS,773,1439
Norte,AM,AUTAZES,6806,12283
Sudeste,SP,AVAI,1500,1527
Sudeste,SP,AVANHANDAVA,2942,2851
Sudeste,SP,AVARE,30775,17644
Norte,PA,AVEIRO,2990,4475
Nordeste,PI,AVELINO LOPES,1535,5290
Centro-Oeste,GO,AVELINOPOLIS,1589,1049
Nordeste,MA,AXIXA,1553,6297
Norte,TO,AXIXA DO TOCANTINS,2712,4035
Norte,TO,BABACULANDIA,1600,3404
Nordeste,MA,BACABAL,17601,34297
Nordeste,MA,BACABEIRA,2177,9141
Nordeste,MA,BACURI,1411,8081
Nordeste,MA,BACURITUBA,383,3142
Sudeste,SP,BADY BASSITT,7638,3410
Sudeste,MG,BAEPENDI,7566,4560
Exterior,ZZ,BAGDA,0,0
Sul,RS,BAGE,30449,35303
Norte,PA,BAGRE,2206,8171
Nordeste,PB,BAIA DA TRAICAO,974,4760
Nordeste,RN,BAIA FORMOSA,1961,3471
