regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Sul,RS,CAMARGO,2733,738,8
Sul,PR,CAMBARA,25360,6851,79
Sul,RS,CAMBARA DO SUL,6431,434,12
Sul,PR,CAMBE,106533,24828,437
Sul,PR,CAMBIRA,7865,2847,33
Sul,SC,CAMBORIU,82989,21234,218
Sudeste,RJ,CAMBUCI,15505,3600,52
Sudeste,MG,CAMBUI,29551,9361,69
Sudeste,MG,CAMBUQUIRA,12814,2301,39
Norte,PA,CAMETA,137890,12217,318
Nordeste,CE,CAMOCIM,63661,8876,166
Nordeste,PE,CAMOCIM DE SAO FELIX,18765,1281,25
Sudeste,MG,CAMPANARIO,3721,410,7
Sudeste,MG,CAMPANHA,16665,4356,73
Nordeste,AL,CAMPESTRE,6936,314,7
Sudeste,MG,CAMPESTRE,21055,6229,53
Sul,RS,CAMPESTRE DA SERRA,3388,760,5
