regiao,estado,municipio,populacao,casosAcumulado,obitosAcumulado
Centro-Oeste,MT,BARRA DO GARCAS,61012,18212,411
Sul,RS,BARRA DO GUARITA,3248,145,8
Sul,PR,BARRA DO JACARE,2781,699,7
Nordeste,BA,BARRA DO MENDES,13865,1671,24
Norte,TO,BARRA DO OURO,4591,214,8
Sudeste,RJ,BARRA DO PIRAI,100374,13208,453
Sul,RS,BARRA DO QUARAI,4215,1166,9
Sul,RS,BARRA DO RIBEIRO,13491,2825,63
Sul,RS,BARRA DO RIO AZUL,1690,228,1
Nordeste,BA,BARRA DO ROCHA,5714,817,8
Sudeste,SP,BARRA DO TURVO,7659,895,27
Nordeste,SE,BARRA DOS COQUEIROS,30407,9064,111
Sul,RS,BARRA FUNDA,2539,1216,16
Sudeste,MG,BARRA LONGA,5131,702,14
Sudeste,RJ,BARRA MANSA,184412,48796,764
Sul,SC,BARRA VELHA,29168,7513,148
Sul,PR,BARRACAO,10275,2917,39
Sul,RS,BARRACAO,5275,964,18
Nordeste,PI,BARRAS,47066,7059,110
Nordeste,CE,BARREIRA,22425,2466,54
Nordeste,BA,BARREIRAS,155439,26606,356
Nordeste,PI,BARREIRAS DO PIAUI,3348,114,4
Norte,AM,BARREIRINHA,32041,4115,69
Nordeste,MA,BARREIRINHAS,62528,2990,46
Nordeste,PE,BARREIROS,42659,1796,69
Sudeste,SP,BARRETOS,122098,31170,643
Sudeste,SP,BARRINHA,32812,1766,93
Nordeste,CE,BARRO,22680,3150,52
Nordeste,BA,BARRO ALTO,14931,1364,17
Centro-Oeste,GO,BARRO ALTO,11167,3098,24
Nordeste,PI,BARRO DURO,7032,856,12
Nordeste,BA,BARRO PRETO,5591,778,15
Nordeste,BA,BARROCAS,15978,1182,30
Norte,TO,BARROLANDIA,5632,909,21
Nordeste,CE,BARROQUINHA,15017,1799,28
Sul,RS,BARROS CASSAL,11199,1740,16
Sudeste,MG,BARROSO,20810,5951,74
