regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Sudeste,SP,PRACINHA,578,325
Norte,AP,PRACUUBA,747,1438
Nordeste,BA,PRADO,4946,8143
Sul,PR,PRADO FERREIRA,1291,1110
Sudeste,SP,PRADOPOLIS,6276,2710
Sudeste,MG,PRADOS,2183,2430
Exterior,ZZ,PRAGA,67,71
Exterior,ZZ,PRAIA,8,24
Sul,SC,PRAIA GRANDE,2890,1648
Sudeste,SP,PRAIA GRANDE,102534,39211
Norte,TO,PRAIA NORTE,996,2738
Norte,PA,PRAINHA,5641,9806
Sul,PR,PRANCHITA,2162,1607
Sudeste,MG,PRATA,7194,6408
Nordeste,PB,PRATA,808,1967
Nordeste,PI,PRATA DO PIAUI,244,1964
Sudeste,SP,PRATANIA,1903,989
Sudeste,MG,PRATAPOLIS,2895,1999
Sudeste,MG,PRATINHA,1205,641
Sudeste,SP,PRESIDENTE ALVES,1733,649
Sudeste,SP,PRESIDENTE BERNARDES,5072,2281
Sudeste,MG,PRESIDENTE BERNARDES,1145,2101
Sul,SC,PRESIDENTE CASTELLO BRANCO,1049,260
Sul,PR,PRESIDENTE CASTELO BRANCO,1556,1343
Nordeste,MA,PRESIDENTE DUTRA,5581,13964
Nordeste,BA,PRESIDENTE DUTRA,874,7605
Sudeste,SP,PRESIDENTE EPITACIO,13437,5915
Norte,AM,PRESIDENTE FIGUEIREDO,6337,8669
Sul,SC,PRESIDENTE GETULIO,8350,1614
Nordeste,BA,PRESIDENTE JANIO QUADROS,1081,5414
Sudeste,MG,PRESIDENTE JUSCELINO,772,1443
Nordeste,MA,PRESIDENTE JUSCELINO,752,5297
Sudeste,ES,PRESIDENTE KENNEDY,5378,3272
Norte,TO,PRESIDENTE KENNEDY,849,919
Sudeste,MG,PRESIDENTE KUBITSCHEK,351,1360
Sul,RS,PRESIDENTE LUCENA,1567,406
Norte,RO,PRESIDENTE MEDICI,7768,2978
Nordeste,MA,PRESIDENTE MEDICI,484,2944
Sul,SC,PRESIDENTE NEREU,1252,339
Sudeste,MG,PRESIDENTE OLEGARIO,6013,4090
Sudeste,SP,PRESIDENTE PRUDENTE,90190,25387
Nordeste,MA,PRESIDENTE SARNEY,1002,8456
Nordeste,BA,PRESIDENTE TANCREDO NEVES,3923,9629
Nordeste,MA,PRESIDENTE VARGAS,597,5785
Sudeste,SP,PRESIDENTE VENCESLAU,15173,4254
Exterior,ZZ,PRETORIA,206,50
