regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Nordeste,PE,MIRANDIBA,1242,7095
Sudeste,SP,MIRANDOPOLIS,10035,2699
Nordeste,BA,MIRANGABA,1338,6851
Norte,TO,MIRANORTE,3352,3333
Nordeste,BA,MIRANTE,842,4000
Norte,RO,MIRANTE DA SERRA,3543,2158
Sudeste,SP,MIRANTE DO PARANAPANEMA,3947,4574
Sul,PR,MIRASELVA,804,603
Sudeste,SP,MIRASSOL,22447,6403
Centro-Oeste,MT,MIRASSOL D'OESTE,8784,4009
Sudeste,SP,MIRASSOLANDIA,1847,620
Sudeste,MG,MIRAVANIA,522,1623
Sul,SC,MIRIM DOCE,1387,456
Nordeste,MA,MIRINZAL,1360,5740
Sul,PR,MISSAL,4714,2351
Nordeste,CE,MISSAO VELHA,3141,18181
Norte,PA,MOCAJUBA,3847,12928
Sudeste,SP,MOCOCA,24341,7963
Sul,SC,MODELO,1617,1007
Sudeste,MG,MOEDA,2075,1416
Sudeste,MG,MOEMA,2669,1442
